FL_DATE,ORIGIN,DEST,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,CANCELLED
1/1/2011 12:00:00 AM,ALB,ATL,0545,-2.00,0.00,0.00,0.00
1/1/2011 12:00:00 AM,ALB,ATL,1310,32.00,32.00,1.00,0.00
1/1/2011 12:00:00 AM,ALB,ATL,1738,-2.00,0.00,0.00,0.00
1/1/2011 12:00:00 AM,ALB,BWI,0829,-1.00,0.00,0.00,0.00
1/1/2011 12:00:00 AM,ALB,BWI,0946,1.00,1.00,0.00,0.00
1/1/2011 12:00:00 AM,ALB,BWI,1409,-1.00,0.00,0.00,0.00
1/1/2011 12:00:00 AM,ALB,BWI,1653,3.00,3.00,0.00,0.00
1/1/2011 12:00:00 AM,ALB,CLE,1010,10.00,10.00,0.00,0.00
1/1/2011 12:00:00 AM,ALB,CLE,1428,-7.00,0.00,0.00,0.00
1/1/2011 12:00:00 AM,ALB,CLT,0828,18.00,18.00,1.00,0.00
1/1/2011 12:00:00 AM,ALB,FLL,1231,6.00,6.00,0.00,0.00
1/1/2011 12:00:00 AM,ALB,IAD,1423,8.00,8.00,0.00,0.00
1/1/2011 12:00:00 AM,ALB,IAD,1910,-5.00,0.00,0.00,0.00
1/1/2011 12:00:00 AM,ALB,LAS,1046,1.00,1.00,0.00,0.00
1/1/2011 12:00:00 AM,ALB,MCO,0913,-2.00,0.00,0.00,0.00
1/1/2011 12:00:00 AM,ALB,MCO,1519,29.00,29.00,1.00,0.00
1/1/2011 12:00:00 AM,ALB,MDW,1548,8.00,8.00,0.00,0.00
1/1/2011 12:00:00 AM,ALB,ORD,0610,10.00,10.00,0.00,0.00
1/1/2011 12:00:00 AM,ALB,ORD,1626,-9.00,0.00,0.00,0.00
1/1/2011 12:00:00 AM,ALB,TPA,1316,1.00,1.00,0.00,0.00
1/1/2011 12:00:00 AM,ATL,ALB,0944,-1.00,0.00,0.00,0.00
1/1/2011 12:00:00 AM,ATL,ALB,1509,19.00,19.00,1.00,0.00
1/1/2011 12:00:00 AM,ATL,ALB,2143,68.00,68.00,1.00,0.00
1/1/2011 12:00:00 AM,ATL,BUF,0859,4.00,4.00,0.00,0.00
1/1/2011 12:00:00 AM,ATL,BUF,1008,-2.00,0.00,0.00,0.00
1/1/2011 12:00:00 AM,ATL,BUF,1113,28.00,28.00,1.00,0.00
1/1/2011 12:00:00 AM,ATL,BUF,1535,10.00,10.00,0.00,0.00
1/1/2011 12:00:00 AM,ATL,BUF,1632,57.00,57.00,1.00,0.00
1/1/2011 12:00:00 AM,ATL,BUF,2037,8.00,8.00,0.00,0.00
1/1/2011 12:00:00 AM,ATL,BUF,2143,48.00,48.00,1.00,0.00
1/1/2011 12:00:00 AM,ATL,HPN,1102,52.00,52.00,1.00,0.00
1/1/2011 12:00:00 AM,ATL,HPN,1412,-3.00,0.00,0.00,0.00
1/1/2011 12:00:00 AM,ATL,HPN,2210,108.00,108.00,1.00,0.00
1/1/2011 12:00:00 AM,ATL,JFK,0724,-1.00,0.00,0.00,0.00
1/1/2011 12:00:00 AM,ATL,JFK,0956,11.00,11.00,0.00,0.00
1/1/2011 12:00:00 AM,ATL,JFK,1309,39.00,39.00,1.00,0.00
1/1/2011 12:00:00 AM,ATL,JFK,1508,3.00,3.00,0.00,0.00
1/1/2011 12:00:00 AM,ATL,JFK,1751,26.00,26.00,1.00,0.00
1/1/2011 12:00:00 AM,ATL,JFK,2138,-2.00,0.00,0.00,0.00
