FL_DATE,ORIGIN,DEST,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,CANCELLED
2/1/2011 12:00:00 AM,ALB,ATL,,,,,1.00
2/1/2011 12:00:00 AM,ALB,ATL,0547,2.00,2.00,0.00,0.00
2/1/2011 12:00:00 AM,ALB,ATL,1446,122.00,122.00,1.00,0.00
2/1/2011 12:00:00 AM,ALB,BWI,,,,,1.00
2/1/2011 12:00:00 AM,ALB,BWI,,,,,1.00
2/1/2011 12:00:00 AM,ALB,BWI,0818,133.00,133.00,1.00,0.00
2/1/2011 12:00:00 AM,ALB,BWI,1049,134.00,134.00,1.00,0.00
2/1/2011 12:00:00 AM,ALB,CLE,0607,-3.00,0.00,0.00,0.00
2/1/2011 12:00:00 AM,ALB,CLT,,,,,1.00
2/1/2011 12:00:00 AM,ALB,CLT,1301,286.00,286.00,1.00,0.00
2/1/2011 12:00:00 AM,ALB,FLL,1005,20.00,20.00,1.00,0.00
2/1/2011 12:00:00 AM,ALB,IAD,,,,,1.00
2/1/2011 12:00:00 AM,ALB,IAD,,,,,1.00
2/1/2011 12:00:00 AM,ALB,IAD,,,,,1.00
2/1/2011 12:00:00 AM,ALB,IAD,0550,-10.00,0.00,0.00,0.00
2/1/2011 12:00:00 AM,ALB,LAS,1339,19.00,19.00,1.00,0.00
2/1/2011 12:00:00 AM,ALB,MCO,,,,,1.00
2/1/2011 12:00:00 AM,ALB,MCO,,,,,1.00
2/1/2011 12:00:00 AM,ALB,MCO,0726,1.00,1.00,0.00,0.00
2/1/2011 12:00:00 AM,ALB,MDW,,,,,1.00
2/1/2011 12:00:00 AM,ALB,MDW,0644,-1.00,0.00,0.00,0.00
2/1/2011 12:00:00 AM,ALB,ORD,,,,,1.00
2/1/2011 12:00:00 AM,ALB,ORD,,,,,1.00
2/1/2011 12:00:00 AM,ALB,ORD,0615,-5.00,0.00,0.00,0.00
2/1/2011 12:00:00 AM,ALB,TPA,1241,31.00,31.00,1.00,0.00
2/1/2011 12:00:00 AM,ATL,ALB,,,,,1.00
2/1/2011 12:00:00 AM,ATL,ALB,,,,,1.00
2/1/2011 12:00:00 AM,ATL,ALB,1152,122.00,122.00,1.00,0.00
2/1/2011 12:00:00 AM,ATL,BUF,,,,,1.00
2/1/2011 12:00:00 AM,ATL,BUF,,,,,1.00
2/1/2011 12:00:00 AM,ATL,BUF,0849,-4.00,0.00,0.00,0.00
2/1/2011 12:00:00 AM,ATL,BUF,1005,-10.00,0.00,0.00,0.00
2/1/2011 12:00:00 AM,ATL,BUF,1040,-5.00,0.00,0.00,0.00
2/1/2011 12:00:00 AM,ATL,BUF,1533,-2.00,0.00,0.00,0.00
2/1/2011 12:00:00 AM,ATL,BUF,1544,6.00,6.00,0.00,0.00
2/1/2011 12:00:00 AM,ATL,BUF,2059,-6.00,0.00,0.00,0.00
2/1/2011 12:00:00 AM,ATL,HPN,,,,,1.00
2/1/2011 12:00:00 AM,ATL,HPN,,,,,1.00
2/1/2011 12:00:00 AM,ATL,HPN,,,,,1.00
2/1/2011 12:00:00 AM,ATL,HPN,,,,,1.00
2/1/2011 12:00:00 AM,ATL,HPN,0826,-7.00,0.00,0.00,0.00
2/1/2011 12:00:00 AM,ATL,HPN,1012,2.00,2.00,0.00,0.00
2/1/2011 12:00:00 AM,ATL,JFK,,,,,1.00
2/1/2011 12:00:00 AM,ATL,JFK,0724,-1.00,0.00,0.00,0.00
2/1/2011 12:00:00 AM,ATL,JFK,0933,-2.00,0.00,0.00,0.00
2/1/2011 12:00:00 AM,ATL,JFK,1302,32.00,32.00,1.00,0.00
2/1/2011 12:00:00 AM,ATL,JFK,1504,-1.00,0.00,0.00,0.00
2/1/2011 12:00:00 AM,ATL,JFK,1756,31.00,31.00,1.00,0.00
