FL_DATE,ORIGIN,DEST,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,CANCELLED
4/1/2011 12:00:00 AM,ALB,ATL,1308,17.00,17.00,1.00,0.00
4/1/2011 12:00:00 AM,ALB,BWI,,,,,1.00
4/1/2011 12:00:00 AM,ALB,BWI,0610,0.00,0.00,0.00,0.00
4/1/2011 12:00:00 AM,ALB,BWI,1256,-4.00,0.00,0.00,0.00
4/1/2011 12:00:00 AM,ALB,BWI,1457,12.00,12.00,0.00,0.00
4/1/2011 12:00:00 AM,ALB,BWI,1626,-4.00,0.00,0.00,0.00
4/1/2011 12:00:00 AM,ALB,BWI,1855,0.00,0.00,0.00,0.00
4/1/2011 12:00:00 AM,ALB,CLE,,,,,1.00
4/1/2011 12:00:00 AM,ALB,CLE,1014,4.00,4.00,0.00,0.00
4/1/2011 12:00:00 AM,ALB,CLE,1418,3.00,3.00,0.00,0.00
4/1/2011 12:00:00 AM,ALB,CLE,1813,-7.00,0.00,0.00,0.00
4/1/2011 12:00:00 AM,ALB,CLT,0809,-6.00,0.00,0.00,0.00
4/1/2011 12:00:00 AM,ALB,CLT,1515,35.00,35.00,1.00,0.00
4/1/2011 12:00:00 AM,ALB,FLL,1206,-4.00,0.00,0.00,0.00
4/1/2011 12:00:00 AM,ALB,IAD,,,,,1.00
4/1/2011 12:00:00 AM,ALB,IAD,0948,-14.00,0.00,0.00,0.00
4/1/2011 12:00:00 AM,ALB,IAD,1418,-5.00,0.00,0.00,0.00
4/1/2011 12:00:00 AM,ALB,IAD,1929,-6.00,0.00,0.00,0.00
4/1/2011 12:00:00 AM,ALB,LAS,1342,-3.00,0.00,0.00,0.00
4/1/2011 12:00:00 AM,ALB,MCO,0731,-4.00,0.00,0.00,0.00
4/1/2011 12:00:00 AM,ALB,MCO,1026,1.00,1.00,0.00,0.00
4/1/2011 12:00:00 AM,ALB,MCO,1738,3.00,3.00,0.00,0.00
4/1/2011 12:00:00 AM,ALB,MDW,0709,9.00,9.00,0.00,0.00
4/1/2011 12:00:00 AM,ALB,MDW,1553,13.00,13.00,0.00,0.00
4/1/2011 12:00:00 AM,ALB,ORD,,,,,1.00
4/1/2011 12:00:00 AM,ALB,ORD,,,,,1.00
4/1/2011 12:00:00 AM,ALB,ORD,1210,-2.00,0.00,0.00,0.00
4/1/2011 12:00:00 AM,ALB,ORD,1746,-6.00,0.00,0.00,0.00
4/1/2011 12:00:00 AM,ALB,ORD,1848,13.00,13.00,0.00,0.00
4/1/2011 12:00:00 AM,ALB,TPA,0814,4.00,4.00,0.00,0.00
4/1/2011 12:00:00 AM,ATL,ALB,0955,0.00,0.00,0.00,0.00
4/1/2011 12:00:00 AM,ATL,BUF,0856,-4.00,0.00,0.00,0.00
4/1/2011 12:00:00 AM,ATL,BUF,1041,-4.00,0.00,0.00,0.00
