FL_DATE,ORIGIN,DEST,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,CANCELLED
2/1/2014 12:00:00 AM,ABQ,JFK,2353,-5.00,0.00,0.00,0.00
2/1/2014 12:00:00 AM,ALB,ATL,0614,4.00,4.00,0.00,0.00
2/1/2014 12:00:00 AM,ALB,ATL,1357,-3.00,0.00,0.00,0.00
2/1/2014 12:00:00 AM,ALB,BWI,0725,-5.00,0.00,0.00,0.00
2/1/2014 12:00:00 AM,ALB,BWI,0918,-7.00,0.00,0.00,0.00
2/1/2014 12:00:00 AM,ALB,BWI,1206,-4.00,0.00,0.00,0.00
2/1/2014 12:00:00 AM,ALB,BWI,1510,0.00,0.00,0.00,0.00
2/1/2014 12:00:00 AM,ALB,CLT,0826,11.00,11.00,0.00,0.00
2/1/2014 12:00:00 AM,ALB,CLT,1459,14.00,14.00,0.00,0.00
2/1/2014 12:00:00 AM,ALB,EWR,1430,-10.00,0.00,0.00,0.00
2/1/2014 12:00:00 AM,ALB,FLL,1321,11.00,11.00,0.00,0.00
2/1/2014 12:00:00 AM,ALB,IAD,0925,-5.00,0.00,0.00,0.00
2/1/2014 12:00:00 AM,ALB,MCO,0702,2.00,2.00,0.00,0.00
2/1/2014 12:00:00 AM,ALB,MCO,1447,12.00,12.00,0.00,0.00
2/1/2014 12:00:00 AM,ALB,MDW,,,,,1.00
2/1/2014 12:00:00 AM,ALB,MDW,1636,31.00,31.00,1.00,0.00
2/1/2014 12:00:00 AM,ALB,ORD,0931,-9.00,0.00,0.00,0.00
2/1/2014 12:00:00 AM,ALB,ORD,1455,-5.00,0.00,0.00,0.00
2/1/2014 12:00:00 AM,ALB,TPA,1353,-2.00,0.00,0.00,0.00
2/1/2014 12:00:00 AM,ART,ORD,,,,,1.00
2/1/2014 12:00:00 AM,ATL,ALB,0959,16.00,16.00,1.00,0.00
2/1/2014 12:00:00 AM,ATL,ALB,1906,-4.00,0.00,0.00,0.00
2/1/2014 12:00:00 AM,ATL,BUF,1218,8.00,8.00,0.00,0.00
2/1/2014 12:00:00 AM,ATL,BUF,2035,10.00,10.00,0.00,0.00
2/1/2014 12:00:00 AM,ATL,HPN,1021,37.00,37.00,1.00,0.00
2/1/2014 12:00:00 AM,ATL,HPN,1553,72.00,72.00,1.00,0.00
2/1/2014 12:00:00 AM,ATL,JFK,0821,-4.00,0.00,0.00,0.00
2/1/2014 12:00:00 AM,ATL,JFK,1203,-2.00,0.00,0.00,0.00
2/1/2014 12:00:00 AM,ATL,JFK,1452,-3.00,0.00,0.00,0.00
2/1/2014 12:00:00 AM,ATL,JFK,1743,10.00,10.00,0.00,0.00
2/1/2014 12:00:00 AM,ATL,JFK,2148,3.00,3.00,0.00,0.00
2/1/2014 12:00:00 AM,ATL,LGA,0751,6.00,6.00,0.00,0.00
2/1/2014 12:00:00 AM,ATL,LGA,0843,-2.00,0.00,0.00,0.00
2/1/2014 12:00:00 AM,ATL,LGA,0847,3.00,3.00,0.00,0.00
2/1/2014 12:00:00 AM,ATL,LGA,0916,-4.00,0.00,0.00,0.00
2/1/2014 12:00:00 AM,ATL,LGA,0946,1.00,1.00,0.00,0.00
2/1/2014 12:00:00 AM,ATL,LGA,1031,1.00,1.00,0.00,0.00
2/1/2014 12:00:00 AM,ATL,LGA,1143,-7.00,0.00,0.00,0.00
2/1/2014 12:00:00 AM,ATL,LGA,1143,-2.00,0.00,0.00,0.00
2/1/2014 12:00:00 AM,ATL,LGA,1243,-2.00,0.00,0.00,0.00
2/1/2014 12:00:00 AM,ATL,LGA,1440,-5.00,0.00,0.00,0.00
2/1/2014 12:00:00 AM,ATL,LGA,1501,11.00,11.00,0.00,0.00
2/1/2014 12:00:00 AM,ATL,LGA,1516,-4.00,0.00,0.00,0.00
2/1/2014 12:00:00 AM,ATL,LGA,1700,20.00,20.00,1.00,0.00
2/1/2014 12:00:00 AM,ATL,LGA,1714,29.00,29.00,1.00,0.00
2/1/2014 12:00:00 AM,ATL,LGA,1800,-5.00,0.00,0.00,0.00
2/1/2014 12:00:00 AM,ATL,LGA,1851,6.00,6.00,0.00,0.00
2/1/2014 12:00:00 AM,ATL,LGA,1907,27.00,27.00,1.00,0.00
2/1/2014 12:00:00 AM,ATL,LGA,2138,-7.00,0.00,0.00,0.00
2/1/2014 12:00:00 AM,ATL,ROC,0907,-3.00,0.00,0.00,0.00
2/1/2014 12:00:00 AM,ATL,ROC,2027,2.00,2.00,0.00,0.00
2/1/2014 12:00:00 AM,ATL,SYR,0926,0.00,0.00,0.00,0.00
2/1/2014 12:00:00 AM,ATL,SYR,2019,-6.00,0.00,0.00,0.00
2/1/2014 12:00:00 AM,AUS,JFK,0559,-1.00,0.00,0.00,0.00
2/1/2014 12:00:00 AM,AUS,JFK,1012,-3.00,0.00,0.00,0.00
2/1/2014 12:00:00 AM,AUS,JFK,1916,21.00,21.00,1.00,0.00
2/1/2014 12:00:00 AM,BGR,LGA,,,,,1.00
2/1/2014 12:00:00 AM,BNA,JFK,1344,64.00,64.00,1.00,0.00
2/1/2014 12:00:00 AM,BNA,LGA,0600,-10.00,0.00,0.00,0.00
2/1/2014 12:00:00 AM,BNA,LGA,1152,-8.00,0.00,0.00,0.00
