FL_DATE,ORIGIN,DEST,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,CANCELLED
7/1/2014 12:00:00 AM,ABQ,JFK,2354,-3.00,0.00,0.00,0.00
7/1/2014 12:00:00 AM,ACK,JFK,0915,-13.00,0.00,0.00,0.00
7/1/2014 12:00:00 AM,ACK,JFK,1250,-10.00,0.00,0.00,0.00
7/1/2014 12:00:00 AM,ALB,ATL,0619,19.00,19.00,1.00,0.00
7/1/2014 12:00:00 AM,ALB,ATL,1253,6.00,6.00,0.00,0.00
7/1/2014 12:00:00 AM,ALB,ATL,1758,-1.00,0.00,0.00,0.00
7/1/2014 12:00:00 AM,ALB,BWI,0557,7.00,7.00,0.00,0.00
7/1/2014 12:00:00 AM,ALB,BWI,0746,-4.00,0.00,0.00,0.00
7/1/2014 12:00:00 AM,ALB,BWI,1148,13.00,13.00,0.00,0.00
7/1/2014 12:00:00 AM,ALB,BWI,1420,0.00,0.00,0.00,0.00
7/1/2014 12:00:00 AM,ALB,BWI,1648,-2.00,0.00,0.00,0.00
7/1/2014 12:00:00 AM,ALB,BWI,1905,35.00,35.00,1.00,0.00
7/1/2014 12:00:00 AM,ALB,CLT,0757,-8.00,0.00,0.00,0.00
7/1/2014 12:00:00 AM,ALB,CLT,1433,-7.00,0.00,0.00,0.00
7/1/2014 12:00:00 AM,ALB,DTW,0900,-5.00,0.00,0.00,0.00
7/1/2014 12:00:00 AM,ALB,DTW,1656,-4.00,0.00,0.00,0.00
7/1/2014 12:00:00 AM,ALB,FLL,0907,-3.00,0.00,0.00,0.00
7/1/2014 12:00:00 AM,ALB,LAS,1456,-4.00,0.00,0.00,0.00
7/1/2014 12:00:00 AM,ALB,MCO,0651,1.00,1.00,0.00,0.00
7/1/2014 12:00:00 AM,ALB,MDW,0635,15.00,15.00,1.00,0.00
7/1/2014 12:00:00 AM,ALB,MDW,1756,6.00,6.00,0.00,0.00
